# CentOS Stream RPM Package Patch Files Analysis
# Analysis Date: 2025-08-05 15:04:37
# Total Packages Analyzed: 4446
# Packages with Patch Files: 1113
# Percentage: 25.0%
#
package_name,project_id,web_url,patch_count
fips-provider-next,71276395,https://gitlab.com/redhat/centos-stream/rpms/fips-provider-next,3
nodejs24,70537184,https://gitlab.com/redhat/centos-stream/rpms/nodejs24,2
libguestfs-fssupport,70252104,https://gitlab.com/redhat/centos-stream/rpms/libguestfs-fssupport,2
gcc-toolset-15-binutils,68785761,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-15-binutils,25
gcc-toolset-15-gcc,68785722,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-15-gcc,35
linux-sgx,68167726,https://gitlab.com/redhat/centos-stream/rpms/linux-sgx,42
sdl2-compat,66981444,https://gitlab.com/redhat/centos-stream/rpms/sdl2-compat,3
SDL3,66877031,https://gitlab.com/redhat/centos-stream/rpms/SDL3,1
tomcat9,66217860,https://gitlab.com/redhat/centos-stream/rpms/tomcat9,6
trustee-guest-components,66217796,https://gitlab.com/redhat/centos-stream/rpms/trustee-guest-components,14
pappl-retrofit,65055748,https://gitlab.com/redhat/centos-stream/rpms/pappl-retrofit,9
papers,64660660,https://gitlab.com/redhat/centos-stream/rpms/papers,5
qat-zstd-plugin,63034750,https://gitlab.com/redhat/centos-stream/rpms/qat-zstd-plugin,3
gnome-shell-extension-no-overview,61038982,https://gitlab.com/redhat/centos-stream/rpms/gnome-shell-extension-no-overview,1
dotnet9.0,60818879,https://gitlab.com/redhat/centos-stream/rpms/dotnet9.0,4
sap-hana-ha,60818859,https://gitlab.com/redhat/centos-stream/rpms/sap-hana-ha,4
nodejs22,60507717,https://gitlab.com/redhat/centos-stream/rpms/nodejs22,1
udev-hid-bpf,59994388,https://gitlab.com/redhat/centos-stream/rpms/udev-hid-bpf,4
erofs-utils,59949547,https://gitlab.com/redhat/centos-stream/rpms/erofs-utils,2
makedumpfile,59724538,https://gitlab.com/redhat/centos-stream/rpms/makedumpfile,1
kdump-utils,59724440,https://gitlab.com/redhat/centos-stream/rpms/kdump-utils,4
mysql8.4,59667499,https://gitlab.com/redhat/centos-stream/rpms/mysql8.4,10
gnome-desktop-testing,58339013,https://gitlab.com/redhat/centos-stream/rpms/gnome-desktop-testing,2
gnome-shell-extension-dash-to-panel,58114212,https://gitlab.com/redhat/centos-stream/rpms/gnome-shell-extension-dash-to-panel,1
plocate,58105823,https://gitlab.com/redhat/centos-stream/rpms/plocate,3
python-pam,57907757,https://gitlab.com/redhat/centos-stream/rpms/python-pam,1
libcpuid,57612921,https://gitlab.com/redhat/centos-stream/rpms/libcpuid,2
gcc-toolset-14-binutils,57289886,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-14-binutils,24
valkey,57212819,https://gitlab.com/redhat/centos-stream/rpms/valkey,1
tpm2-openssl,57212807,https://gitlab.com/redhat/centos-stream/rpms/tpm2-openssl,2
gcc-toolset-14-gdb,57046850,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-14-gdb,41
gcc-toolset-14-gcc,57046816,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-14-gcc,17
rust-prefixdevname,57008891,https://gitlab.com/redhat/centos-stream/rpms/rust-prefixdevname,1
compat-sap-cplusplus-13,56620497,https://gitlab.com/redhat/centos-stream/rpms/compat-sap-cplusplus-13,39
ktls-utils,55376464,https://gitlab.com/redhat/centos-stream/rpms/ktls-utils,2
mariadb10.11,54700008,https://gitlab.com/redhat/centos-stream/rpms/mariadb10.11,7
gnome-ponytail-daemon,54685913,https://gitlab.com/redhat/centos-stream/rpms/gnome-ponytail-daemon,7
intel-lpmd,54463959,https://gitlab.com/redhat/centos-stream/rpms/intel-lpmd,4
wasi-libc,53774591,https://gitlab.com/redhat/centos-stream/rpms/wasi-libc,1
nodejs-cjs-module-lexer,53774573,https://gitlab.com/redhat/centos-stream/rpms/nodejs-cjs-module-lexer,1
xwayland-run,53738685,https://gitlab.com/redhat/centos-stream/rpms/xwayland-run,4
yggdrasil-worker-package-manager,52834603,https://gitlab.com/redhat/centos-stream/rpms/yggdrasil-worker-package-manager,1
xmvn-generator,52834597,https://gitlab.com/redhat/centos-stream/rpms/xmvn-generator,3
wsdd,52834591,https://gitlab.com/redhat/centos-stream/rpms/wsdd,1
snapshot,52834551,https://gitlab.com/redhat/centos-stream/rpms/snapshot,1
resolv_wrapper,52834542,https://gitlab.com/redhat/centos-stream/rpms/resolv_wrapper,1
python-zstd,52834530,https://gitlab.com/redhat/centos-stream/rpms/python-zstd,1
python-trove-classifiers,52834526,https://gitlab.com/redhat/centos-stream/rpms/python-trove-classifiers,1
python-tpm2-pytss,52834524,https://gitlab.com/redhat/centos-stream/rpms/python-tpm2-pytss,2
python-sphinxcontrib-jquery,52834518,https://gitlab.com/redhat/centos-stream/rpms/python-sphinxcontrib-jquery,1
python-referencing,52834504,https://gitlab.com/redhat/centos-stream/rpms/python-referencing,1
python-pyproject-metadata,52834493,https://gitlab.com/redhat/centos-stream/rpms/python-pyproject-metadata,1
python-pygit2,52834491,https://gitlab.com/redhat/centos-stream/rpms/python-pygit2,3
python-nihtest,52834482,https://gitlab.com/redhat/centos-stream/rpms/python-nihtest,1
python-meson-python,52834479,https://gitlab.com/redhat/centos-stream/rpms/python-meson-python,1
python-jsonschema-specifications,52834466,https://gitlab.com/redhat/centos-stream/rpms/python-jsonschema-specifications,1
python-cffsubr,52834454,https://gitlab.com/redhat/centos-stream/rpms/python-cffsubr,1
priv_wrapper,52834447,https://gitlab.com/redhat/centos-stream/rpms/priv_wrapper,1
postgresql16,52834445,https://gitlab.com/redhat/centos-stream/rpms/postgresql16,11
plexus-build-api0,52834443,https://gitlab.com/redhat/centos-stream/rpms/plexus-build-api0,2
pkcs11-provider,52834441,https://gitlab.com/redhat/centos-stream/rpms/pkcs11-provider,4
perl-Mozilla-PublicSuffix,52834431,https://gitlab.com/redhat/centos-stream/rpms/perl-Mozilla-PublicSuffix,1
perl-IO-Compress-Brotli,52834420,https://gitlab.com/redhat/centos-stream/rpms/perl-IO-Compress-Brotli,1
oqsprovider,52834408,https://gitlab.com/redhat/centos-stream/rpms/oqsprovider,3
modulemaker-maven-plugin,52834393,https://gitlab.com/redhat/centos-stream/rpms/modulemaker-maven-plugin,1
maturin,52834384,https://gitlab.com/redhat/centos-stream/rpms/maturin,3
liboqs,52834361,https://gitlab.com/redhat/centos-stream/rpms/liboqs,3
liblerc,52834358,https://gitlab.com/redhat/centos-stream/rpms/liblerc,1
libfaketime,52834346,https://gitlab.com/redhat/centos-stream/rpms/libfaketime,4
libadwaita,52834334,https://gitlab.com/redhat/centos-stream/rpms/libadwaita,32
kea,52834331,https://gitlab.com/redhat/centos-stream/rpms/kea,1
iniparser,52834323,https://gitlab.com/redhat/centos-stream/rpms/iniparser,1
gi-docgen,52834286,https://gitlab.com/redhat/centos-stream/rpms/gi-docgen,2
dhcpcd,52834267,https://gitlab.com/redhat/centos-stream/rpms/dhcpcd,1
bootc,52834244,https://gitlab.com/redhat/centos-stream/rpms/bootc,1
adobe-afdko,52834229,https://gitlab.com/redhat/centos-stream/rpms/adobe-afdko,2
xhost,52259737,https://gitlab.com/redhat/centos-stream/rpms/xhost,1
python-installer,52259723,https://gitlab.com/redhat/centos-stream/rpms/python-installer,1
pappl,52259721,https://gitlab.com/redhat/centos-stream/rpms/pappl,4
lprint,52259714,https://gitlab.com/redhat/centos-stream/rpms/lprint,2
gnome-text-editor,52259705,https://gitlab.com/redhat/centos-stream/rpms/gnome-text-editor,1
cups-browsed,52259700,https://gitlab.com/redhat/centos-stream/rpms/cups-browsed,7
qt6-qtwayland,52214634,https://gitlab.com/redhat/centos-stream/rpms/qt6-qtwayland,1
qt6-qtserialbus,52214629,https://gitlab.com/redhat/centos-stream/rpms/qt6-qtserialbus,1
qt6-qtimageformats,52214610,https://gitlab.com/redhat/centos-stream/rpms/qt6-qtimageformats,1
qt6-qt3d,52214600,https://gitlab.com/redhat/centos-stream/rpms/qt6-qt3d,1
libsoup3,52075917,https://gitlab.com/redhat/centos-stream/rpms/libsoup3,9
python-websockets,51791129,https://gitlab.com/redhat/centos-stream/rpms/python-websockets,1
python-awscrt,51791121,https://gitlab.com/redhat/centos-stream/rpms/python-awscrt,2
awscli2,51791083,https://gitlab.com/redhat/centos-stream/rpms/awscli2,6
duktape,51544791,https://gitlab.com/redhat/centos-stream/rpms/duktape,1
osci-internal-test-package,51115677,https://gitlab.com/redhat/centos-stream/rpms/osci-internal-test-package,1
mingw-pcre2,51113462,https://gitlab.com/redhat/centos-stream/rpms/mingw-pcre2,2
qt6-qtwebchannel,50894286,https://gitlab.com/redhat/centos-stream/rpms/qt6-qtwebchannel,1
qt6-qttools,50894285,https://gitlab.com/redhat/centos-stream/rpms/qt6-qttools,2
qt6-qtsvg,50894284,https://gitlab.com/redhat/centos-stream/rpms/qt6-qtsvg,1
qt6-qtshadertools,50894275,https://gitlab.com/redhat/centos-stream/rpms/qt6-qtshadertools,1
qt6-qtquick3d,50894236,https://gitlab.com/redhat/centos-stream/rpms/qt6-qtquick3d,1
qt6-qtmultimedia,50894222,https://gitlab.com/redhat/centos-stream/rpms/qt6-qtmultimedia,1
qt6-qtdeclarative,50894217,https://gitlab.com/redhat/centos-stream/rpms/qt6-qtdeclarative,1
qt6-qtbase,50894213,https://gitlab.com/redhat/centos-stream/rpms/qt6-qtbase,10
python3.12,50894173,https://gitlab.com/redhat/centos-stream/rpms/python3.12,7
libtracecmd,50894158,https://gitlab.com/redhat/centos-stream/rpms/libtracecmd,9
libppd,50894153,https://gitlab.com/redhat/centos-stream/rpms/libppd,4
libportal,50894149,https://gitlab.com/redhat/centos-stream/rpms/libportal,1
libcupsfilters,50894142,https://gitlab.com/redhat/centos-stream/rpms/libcupsfilters,5
iotop-c,50894141,https://gitlab.com/redhat/centos-stream/rpms/iotop-c,1
libkdumpfile,50719643,https://gitlab.com/redhat/centos-stream/rpms/libkdumpfile,1
compat-sap-cplusplus,48670507,https://gitlab.com/redhat/centos-stream/rpms/compat-sap-cplusplus,26
dotnet8.0,48367055,https://gitlab.com/redhat/centos-stream/rpms/dotnet8.0,6
java-21-openjdk,46620721,https://gitlab.com/redhat/centos-stream/rpms/java-21-openjdk,10
mingw-spice-gtk,45762740,https://gitlab.com/redhat/centos-stream/rpms/mingw-spice-gtk,14
gcc-toolset-13-binutils,45273030,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-13-binutils,8
xinetd,44904875,https://gitlab.com/redhat/centos-stream/rpms/xinetd,10
torque,44904137,https://gitlab.com/redhat/centos-stream/rpms/torque,18
mingw-spice-vdagent,44902132,https://gitlab.com/redhat/centos-stream/rpms/mingw-spice-vdagent,22
libdbusmenu,44901487,https://gitlab.com/redhat/centos-stream/rpms/libdbusmenu,1
hyphen-sa,44900444,https://gitlab.com/redhat/centos-stream/rpms/hyphen-sa,1
hyphen-mn,44900423,https://gitlab.com/redhat/centos-stream/rpms/hyphen-mn,1
hyphen-grc,44900413,https://gitlab.com/redhat/centos-stream/rpms/hyphen-grc,1
compat-locales-sap,44873159,https://gitlab.com/redhat/centos-stream/rpms/compat-locales-sap,19
compat-sap-cplusplus-11,44871315,https://gitlab.com/redhat/centos-stream/rpms/compat-sap-cplusplus-11,15
compat-sap-cplusplus-10,44871306,https://gitlab.com/redhat/centos-stream/rpms/compat-sap-cplusplus-10,10
gcc-toolset-13-gcc,44724437,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-13-gcc,23
gcc-toolset-13-gdb,44724224,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-13-gdb,59
sblim-gather,43891854,https://gitlab.com/redhat/centos-stream/rpms/sblim-gather,12
mozjs60,43890785,https://gitlab.com/redhat/centos-stream/rpms/mozjs60,1
libhugetlbfs,43890245,https://gitlab.com/redhat/centos-stream/rpms/libhugetlbfs,23
libgit2,43890212,https://gitlab.com/redhat/centos-stream/rpms/libgit2,1
kyotocabinet,43890042,https://gitlab.com/redhat/centos-stream/rpms/kyotocabinet,4
hyphen-tk,43889829,https://gitlab.com/redhat/centos-stream/rpms/hyphen-tk,1
hyphen-is,43889813,https://gitlab.com/redhat/centos-stream/rpms/hyphen-is,1
hyphen-ia,43889806,https://gitlab.com/redhat/centos-stream/rpms/hyphen-ia,1
hyphen-hsb,43889803,https://gitlab.com/redhat/centos-stream/rpms/hyphen-hsb,1
gcc-toolset-9-ltrace,43889219,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-9-ltrace,11
gcc-toolset-9-gcc,43889213,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-9-gcc,21
gcc-toolset-9-binutils,43889182,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-9-binutils,20
gcc-toolset-12-binutils,43889151,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-12-binutils,24
gcc-toolset-11-ltrace,43889134,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-11-ltrace,17
gcc-toolset-11-gdb,43889129,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-11-gdb,81
gcc-toolset-11-gcc,43889123,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-11-gcc,35
gcc-toolset-11-binutils,43889080,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-11-binutils,8
gcc-toolset-10-strace,43889032,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-10-strace,3
gcc-toolset-10-ltrace,43889021,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-10-ltrace,11
gcc-toolset-10-gdb,43889019,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-10-gdb,96
gcc-toolset-10-gcc,43889015,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-10-gcc,12
gcc-toolset-10-binutils,43888984,https://gitlab.com/redhat/centos-stream/rpms/gcc-toolset-10-binutils,21
compat-openssl10,43888310,https://gitlab.com/redhat/centos-stream/rpms/compat-openssl10,41
